URI,Label,Comment,Superclasses,EquivalentClasses
https://w3id.org/saref#BuildingRelated,Building,"A category that includes devices as described by building related data models, such as IFC and FIEMSER ","[""http://www.w3.org/2002/07/owl#Thing"", {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_room"", ""someValuesFrom"": ""https://sargon-n5geh.netlify.app/ontology/1.0/classes/Room""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_sensor"", ""someValuesFrom"": ""https://w3id.org/saref#Sensor""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_zone"", ""someValuesFrom"": ""https://sargon-n5geh.netlify.app/ontology/1.0/classes/Zone""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/data_provider"", ""someValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/description"", ""someValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/floors_above_ground"", ""someValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/floors_below_ground"", ""someValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/operation_sequence"", ""someValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/owner"", ""someValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/address"", ""http://www.w3.org/2002/07/owl#hasValue"": ""Geo:json""}]",
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#Building,Building,The building in the district.,"[""http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#PhysicalObject"", {""onProperty"": ""http://energy.linkeddata.es/em-kpi/ontology#isAssociatedObjectOf"", ""someValuesFrom"": ""http://energy.linkeddata.es/em-kpi/ontology#KPICalculation""}, {""onProperty"": ""http://energy.linkeddata.es/em-kpi/ontology#isFeatureOfInterestOf"", ""someValuesFrom"": ""http://purl.oclc.org/NET/ssnx/ssn#Observation""}, {""onProperty"": ""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/EnergyResourceOntology.owl#contains"", ""someValuesFrom"": ""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/EnergyResourceOntology.owl#BuildingThing""}, {""onProperty"": ""http://energy.linkeddata.es/em-kpi/ontology#hasAirConditionedVolume"", ""qualifiedCardinality"": ""1"", ""onClass"": ""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#Volume""}, {""onProperty"": ""http://energy.linkeddata.es/em-kpi/ontology#hasArea"", ""qualifiedCardinality"": ""1"", ""onClass"": ""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#Area""}, {""onProperty"": ""http://energy.linkeddata.es/em-kpi/ontology#hasBuildingType"", ""qualifiedCardinality"": ""1"", ""onClass"": ""http://energy.linkeddata.es/em-kpi/ontology#BuildingType""}, {""onProperty"": ""http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"", ""qualifiedCardinality"": ""1"", ""onClass"": ""http://purl.org/dc/terms/Location""}, {""onProperty"": ""http://energy.linkeddata.es/em-kpi/ontology#hasYearOfConstruction"", ""qualifiedCardinality"": ""1"", ""http://www.w3.org/2002/07/owl#onDataRange"": ""http://www.w3.org/2001/XMLSchema#gYear""}, {""onProperty"": ""http://purl.org/dc/terms/title"", ""qualifiedCardinality"": ""1"", ""http://www.w3.org/2002/07/owl#onDataRange"": ""http://www.w3.org/2001/XMLSchema#string""}]",
https://saref.etsi.org/saref4bldg/Building,Building,"A building represents a structure that provides shelter for its occupants or contents and stands in one place. The building is also used to provide a basic element within the spatial structure hierarchy for the components of a building project (together with site, storey, and space).","[{""onProperty"": ""https://saref.etsi.org/saref4bldg/hasSpace"", ""allValuesFrom"": ""https://saref.etsi.org/saref4bldg/BuildingSpace""}]","[""https://w3id.org/seas/Building"", ""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#Building""]"
https://w3id.org/sbeo#BuildingEntrance,Building Entrance,A logical point that is used to represent the entrance to a building.,"[""https://w3id.org/sbeo#Entrance""]",
https://w3id.org/sbeo#BuildingExit,Building Exit,A logical point that is used to represent the exit of a building.,"[""https://w3id.org/sbeo#Exit""]",
https://w3id.org/seas/BuildingSpace,Building Space,A Space is a 3D volume bounded by surfaces. It represents the physical spaces of the building.,"[""https://w3id.org/sbeo#Space""]",
https://w3id.org/seas/BuildingSpatialStructure,Building Spatial Structure,A man made structure with spatial properties.,"[""https://w3id.org/seas/BuildingSpace""]",
https://w3id.org/seas/BuildingStorey,Building Storey,The storey represents a (nearly) horizontal aggregation of spaces that are vertically bound.,"[""https://w3id.org/seas/BuildingSpatialStructure""]","[""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#BuildingStorey""]"
https://saref.etsi.org/saref4bldg/BuildingDevice,Building device,A tangible object designed to accomplish a particular task in a building.,"[""https://saref.etsi.org/core/Device"", ""https://saref.etsi.org/saref4bldg/BuildingObject""]",
https://saref.etsi.org/saref4bldg/BuildingObject,Building object,"An object in the building that can be controlled by devices, such as a door or a window that can be automatically opened or closed by an actuator.  (Definition taken from SAREF 1.0)","[""https://saref.etsi.org/saref4bldg/PhysicalObject""]",
https://sargon-n5geh.netlify.app/ontology/1.0/classes/BuildingRelated,Building related,"A building represents a structure that provides shelter for its occupants or contents and stands in one place. The building is also used to provide a basic element within the spatial structure hierarchy for the components of a building project (together with site, storey, and space).","[""https://w3id.org/saref#Device""]",
https://saref.etsi.org/saref4bldg/BuildingSpace,Building space,An entity used to define the physical spaces of the building. A building space contains devices or building objects.,"[{""onProperty"": ""https://saref.etsi.org/saref4bldg/contains"", ""allValuesFrom"": ""https://saref.etsi.org/saref4bldg/PhysicalObject""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/hasSpace"", ""allValuesFrom"": ""https://saref.etsi.org/saref4bldg/BuildingSpace""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/isSpaceOf"", ""allValuesFrom"": ""Ndcce83414fb346dca85f489dad6d7f16""}]","[""https://w3id.org/seas/BuildingSpace""]"
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#BuildingElement,BuildingElement,The element composes the building structure.,"[""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/EnergyResourceOntology.owl#BuildingThing""]",
http://energy.linkeddata.es/em-kpi/ontology#BuildingEquipment,BuildingEquipment,The equipment contained in building,"[""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/EnergyResourceOntology.owl#BuildingThing"", {""onProperty"": ""http://energy.linkeddata.es/em-kpi/ontology#isAssociatedObjectOf"", ""someValuesFrom"": ""http://energy.linkeddata.es/em-kpi/ontology#KPICalculation""}]",
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#BuildingParameter,BuildingParameter,"The building static parameter that to be measured, like area, volume, material property","[""http://purl.oclc.org/NET/ssnx/ssn#Property""]",
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#BuildingStorey,BuildingStorey,Building storey captures the storey structure in building,"[""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#BuildingElement"", {""onProperty"": ""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/EnergyResourceOntology.owl#contains"", ""someValuesFrom"": ""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#Zone""}]",
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/EnergyResourceOntology.owl#BuildingThing,BuildingThing,"All things (here physical objects) that creates a building, it is intended as root of all building components.","[""http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#PhysicalObject"", {""onProperty"": ""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/EnergyResourceOntology.owl#isIn"", ""qualifiedCardinality"": ""1"", ""onClass"": ""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#Building""}]",
